Model run by nils using Apollo 0.3.1 on R 4.3.2 for Linux.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : mode_choice_model
Model description                           : MNL model with time, cost, and pt frequency and transfers
Model run at                                : 2023-12-04 16:52:32.60197
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -829.910412
     reciprocal of condition number         : 0.000115238
Number of individuals                       : 112152
Number of rows in database                  : 112152
Number of modelled outcomes                 : 112152

Number of cores used                        :  10 
Model without mixing

LL(start)                                   : -77098.63
LL at equal shares, LL(0)                   : -130663.6
LL at observed shares, LL(C)                : -91332.31
LL(final)                                   : -77042.7
Rho-squared vs equal shares                  :  0.4104 
Adj.Rho-squared vs equal shares              :  0.4102 
Rho-squared vs observed shares               :  0.1565 
Adj.Rho-squared vs observed shares           :  0.1563 
AIC                                         :  154121.4 
BIC                                         :  154294.7 

Estimated parameters                        : 18
Time taken (hh:mm:ss)                       :  00:02:38.48 
     pre-estimation                         :  00:02:10.12 
     estimation                             :  00:00:5.23 
          initial estimation                :  00:00:4.13 
          estimation after rescaling        :  00:00:1.1 
     post-estimation                        :  00:00:23.13 
Iterations                                  :  11  
     initial estimation                     :  10 
     estimation after rescaling             :  1 

Unconstrained optimisation.

Estimates:
                 Estimate        s.e.   t.rat.(0)    Rob.s.e. Rob.t.rat.(0)
ASC_car          0.000000          NA          NA          NA            NA
ASC_pt          -1.377870    0.032088     -42.940    0.030469       -45.223
ASC_bike        -1.891073    0.026176     -72.246    0.029365       -64.400
ASC_walk         0.341898    0.023582      14.498    0.032767        10.434
b_cost          -0.147952    0.005076     -29.150    0.005426       -27.265
b_tt_car        -0.094220    0.002314     -40.723    0.002706       -34.823
b_tt_pt         -0.006232    0.001835      -3.395    0.001838        -3.391
b_tt_bike       -0.088145    0.001326     -66.462    0.002243       -39.292
b_tt_walk       -0.088668  8.1984e-04    -108.152    0.001808       -49.053
b_tt_access     -0.042881    0.001618     -26.495    0.001599       -26.814
b_tt_waiting    -0.042344    0.001673     -25.307    0.001787       -23.694
b_transfers     -0.170431    0.025877      -6.586    0.025484        -6.688
b_tt_egress     -0.058349    0.002469     -23.636    0.002381       -24.503
b_pt_precip     -0.005641    0.001595      -3.536    0.001549        -3.641
b_pt_sun        -0.005045    0.001579      -3.195    0.001477        -3.415
b_bike_precip   -0.009768    0.001671      -5.844    0.001685        -5.797
b_bike_sun       0.019687    0.001465      13.440    0.001475        13.348
b_walk_precip   -0.004306    0.001273      -3.382    0.001283        -3.355
b_walk_sun       0.002033    0.001298       1.567    0.001259         1.615


Overview of choices for MNL model component :
                                      car       pt      bike     walk
Times available                  89886.00 82644.00 107509.00 90492.00
Times chosen                     65261.00 10963.00  10872.00 25056.00
Percentage chosen overall           58.19     9.78      9.69    22.34
Percentage chosen when available    72.60    13.27     10.11    27.69



Classical covariance matrix:
                     ASC_pt      ASC_bike      ASC_walk        b_cost      b_tt_car       b_tt_pt
 247675_2        2.398689e-11
 357915_1        3.533567e-11
 134879_2        8.829520e-11
 243739_1        1.817859e-10
 133879_1        2.618790e-10
 315387_1        2.809573e-10

Changes in parameter estimates from starting values:
                  Initial    Estimate  Difference
ASC_car          0.000000    0.000000    0.000000
ASC_pt          -1.377865   -1.377870  -5.208e-06
ASC_bike        -1.891062   -1.891073  -1.130e-05
ASC_walk         0.341877    0.341898   2.060e-05
b_cost          -0.147952   -0.147952   2.813e-07
b_tt_car        -0.094219   -0.094220  -7.542e-07
b_tt_pt         -0.006232   -0.006232   2.936e-07
b_tt_bike       -0.088146   -0.088145   8.007e-07
b_tt_walk       -0.088666   -0.088668  -1.601e-06
b_tt_access     -0.042881   -0.042881  -3.753e-07
b_tt_waiting    -0.042344   -0.042344  -2.258e-07
b_transfers     -0.170433   -0.170431   1.612e-06
b_tt_egress     -0.058349   -0.058349   1.243e-07
b_pt_precip      0.003822   -0.005641   -0.009463
b_pt_sun        -0.005141   -0.005045   9.559e-05
b_bike_precip   -0.005946   -0.009768   -0.003822
b_bike_sun       0.014546    0.019687    0.005141
b_walk_precip    0.000000   -0.004306   -0.004306
b_walk_sun      -0.003108    0.002033    0.005141

Settings and functions used in model definition:

apollo_control
--------------
                       Value                                                      
modelName              "mode_choice_model"                                        
modelDescr             "MNL model with time, cost, and pt frequency and transfers"
indivID                "id"                                                       
outputDirectory        "MNL_model_storage/apollo/ZZ/"                             
panelData              "FALSE"                                                    
nCores                 "10"                                                       
debug                  "FALSE"                                                    
workInLogs             "FALSE"                                                    
seed                   "13"                                                       
mixing                 "FALSE"                                                    
HB                     "FALSE"                                                    
noValidation           "FALSE"                                                    
noDiagnostics          "FALSE"                                                    
calculateLLC           "TRUE"                                                     
analyticGrad           "TRUE"                                                     
analyticGrad_manualSet "FALSE"                                                    
overridePanel          "FALSE"                                                    
preventOverridePanel   "FALSE"                                                    
noModification         "FALSE"                                                    

Hessian routines attempted
--------------------------
numerical jacobian of LL analytical gradient

Scaling used in computing Hessian
---------------------------------
                    Value
ASC_pt        1.377870208
ASC_bike      1.891073295
ASC_walk      0.341897601
b_cost        0.147951719
b_tt_car      0.094219754
b_tt_pt       0.006231706
b_tt_bike     0.088145199
b_tt_walk     0.088667601
b_tt_access   0.042881375
b_tt_waiting  0.042344226
b_transfers   0.170431388
b_tt_egress   0.058348876
b_pt_precip   0.005640945
b_pt_sun      0.005045407
b_bike_precip 0.009768149
b_bike_sun    0.019686637
b_walk_precip 0.004306264
b_walk_sun    0.002033166


apollo_probabilities
----------------------
function(apollo_beta, apollo_inputs, functionality="estimate"){
  
  apollo_attach(apollo_beta, apollo_inputs)
  on.exit(apollo_detach(apollo_beta, apollo_inputs))
  P = list()
  
  V = list()
  V[["car"]] =   ASC_car  + b_cost * cost_car  +  b_tt_car    * time_in_car 
  V[["pt"]] =    ASC_pt   + b_cost * cost_pt   +  b_tt_pt     * time_in_pt +  b_tt_access * access_pt + b_tt_waiting * waiting_pt + b_transfers * transfers_pt + b_tt_egress * egress_pt + 
                                                  b_pt_precip * precip       + b_pt_sun   * solarenergy
  V[["bike"]] =  ASC_bike +                    +  b_tt_bike   * time_in_bike +
                                                  b_bike_precip * precip       + b_bike_sun   * solarenergy
  V[["walk"]] =  ASC_walk +                    +  b_tt_walk  * time_in_walk +
                                                  b_walk_precip * precip       + b_walk_sun   * solarenergy

  mnl_settings = list(
    alternatives = c(car=1, pt=2, bike=3, walk=4), #Here the choice values of the choiceVar is associated to each utility function
    avail = list(car=avail_car, pt=avail_pt, bike=avail_bike, walk=avail_walk), #Here we define the variables that represent the availability of each alternative. 
    choiceVar = CHOICE,
    utilities = V
  )
  
  P[["model"]] = apollo_mnl(mnl_settings, functionality)
  
  P = apollo_prepareProb(P, apollo_inputs, functionality)
  return(P)
}
<bytecode: 0x560701595588>
